"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008285","GO:0008285","negative regulation of cell population proliferation","217/7441","308/13020",0.704545454545455,1.23278884802874,4.77481854982569,7.78353177137905e-07,0.00263783891732036,0.00239814710471858,"ENSG00000003756/ENSG00000005020/ENSG00000006747/ENSG00000023287/ENSG00000030110/ENSG00000047644/ENSG00000055332/ENSG00000060656/ENSG00000067113/ENSG00000068024/ENSG00000068079/ENSG00000069482/ENSG00000071242/ENSG00000078304/ENSG00000078900/ENSG00000083642/ENSG00000084093/ENSG00000086232/ENSG00000087088/ENSG00000087494/ENSG00000088002/ENSG00000090530/ENSG00000090612/ENSG00000092969/ENSG00000094804/ENSG00000096968/ENSG00000100526/ENSG00000100532/ENSG00000100867/ENSG00000101144/ENSG00000102974/ENSG00000103197/ENSG00000103653/ENSG00000104419/ENSG00000105329/ENSG00000105810/ENSG00000105928/ENSG00000105974/ENSG00000106290/ENSG00000106692/ENSG00000107485/ENSG00000107937/ENSG00000107954/ENSG00000109062/ENSG00000109099/ENSG00000110811/ENSG00000111012/ENSG00000111077/ENSG00000111252/ENSG00000111276/ENSG00000111424/ENSG00000111653/ENSG00000111679/ENSG00000112293/ENSG00000112658/ENSG00000113645/ENSG00000114166/ENSG00000115808/ENSG00000116133/ENSG00000116455/ENSG00000116661/ENSG00000117595/ENSG00000118046/ENSG00000118849/ENSG00000119185/ENSG00000119699/ENSG00000119917/ENSG00000120129/ENSG00000120149/ENSG00000120800/ENSG00000120899/ENSG00000121769/ENSG00000122641/ENSG00000123080/ENSG00000123609/ENSG00000124762/ENSG00000124766/ENSG00000124802/ENSG00000124882/ENSG00000125347/ENSG00000125378/ENSG00000125845/ENSG00000126062/ENSG00000126581/ENSG00000127152/ENSG00000128271/ENSG00000128342/ENSG00000129355/ENSG00000130147/ENSG00000131759/ENSG00000132155/ENSG00000132170/ENSG00000132819/ENSG00000132932/ENSG00000133321/ENSG00000133639/ENSG00000133895/ENSG00000134086/ENSG00000134533/ENSG00000134982/ENSG00000135049/ENSG00000135269/ENSG00000135414/ENSG00000135919/ENSG00000136158/ENSG00000136826/ENSG00000136830/ENSG00000136848/ENSG00000137203/ENSG00000137309/ENSG00000137462/ENSG00000137492/ENSG00000137834/ENSG00000138061/ENSG00000138685/ENSG00000140464/ENSG00000141013/ENSG00000141232/ENSG00000141510/ENSG00000142192/ENSG00000142798/ENSG00000143499/ENSG00000143816/ENSG00000144476/ENSG00000144535/ENSG00000146242/ENSG00000146674/ENSG00000147257/ENSG00000147883/ENSG00000148344/ENSG00000148400/ENSG00000148926/ENSG00000149177/ENSG00000149295/ENSG00000151208/ENSG00000151718/ENSG00000153904/ENSG00000154640/ENSG00000154734/ENSG00000155090/ENSG00000157933/ENSG00000158246/ENSG00000159388/ENSG00000159692/ENSG00000160182/ENSG00000160862/ENSG00000162892/ENSG00000163141/ENSG00000163191/ENSG00000163251/ENSG00000163485/ENSG00000163930/ENSG00000163939/ENSG00000164056/ENSG00000164850/ENSG00000164867/ENSG00000164938/ENSG00000165215/ENSG00000165238/ENSG00000165458/ENSG00000165655/ENSG00000165891/ENSG00000166949/ENSG00000167034/ENSG00000167085/ENSG00000167779/ENSG00000167996/ENSG00000168036/ENSG00000168610/ENSG00000169031/ENSG00000169032/ENSG00000169083/ENSG00000169926/ENSG00000170365/ENSG00000170836/ENSG00000170881/ENSG00000171791/ENSG00000171862/ENSG00000173404/ENSG00000174775/ENSG00000175029/ENSG00000175224/ENSG00000175274/ENSG00000175354/ENSG00000175387/ENSG00000176046/ENSG00000178252/ENSG00000180573/ENSG00000180616/ENSG00000181852/ENSG00000182195/ENSG00000182389/ENSG00000183145/ENSG00000184481/ENSG00000184828/ENSG00000185043/ENSG00000185290/ENSG00000185324/ENSG00000185885/ENSG00000185920/ENSG00000186575/ENSG00000186767/ENSG00000196396/ENSG00000196712/ENSG00000197256/ENSG00000197381/ENSG00000198363/ENSG00000198612/ENSG00000198719/ENSG00000204435/ENSG00000204580/ENSG00000205336/ENSG00000213977/ENSG00000217128/ENSG00000245848/ENSG00000277075/ENSG00000291237",217
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","134/7441","182/13020",0.736263736263736,1.28828838142103,4.52314419722521,2.56352820832272e-06,0.00335196372359397,0.00304738172072481,"ENSG00000012171/ENSG00000021355/ENSG00000035862/ENSG00000041982/ENSG00000049089/ENSG00000049323/ENSG00000053747/ENSG00000057593/ENSG00000058085/ENSG00000063660/ENSG00000064309/ENSG00000065618/ENSG00000066468/ENSG00000067225/ENSG00000073670/ENSG00000074695/ENSG00000076716/ENSG00000077942/ENSG00000090006/ENSG00000090339/ENSG00000091136/ENSG00000092758/ENSG00000092969/ENSG00000100097/ENSG00000100234/ENSG00000100311/ENSG00000100985/ENSG00000101144/ENSG00000101160/ENSG00000101825/ENSG00000102924/ENSG00000105329/ENSG00000106366/ENSG00000106397/ENSG00000106624/ENSG00000107562/ENSG00000108679/ENSG00000108821/ENSG00000109610/ENSG00000109861/ENSG00000110169/ENSG00000110492/ENSG00000111341/ENSG00000111799/ENSG00000114251/ENSG00000114270/ENSG00000115414/ENSG00000117122/ENSG00000117984/ENSG00000118523/ENSG00000119699/ENSG00000120708/ENSG00000120885/ENSG00000124107/ENSG00000124570/ENSG00000124749/ENSG00000130203/ENSG00000130508/ENSG00000130635/ENSG00000130720/ENSG00000131187/ENSG00000131981/ENSG00000132031/ENSG00000132386/ENSG00000132561/ENSG00000134013/ENSG00000134245/ENSG00000134871/ENSG00000135046/ENSG00000135047/ENSG00000135862/ENSG00000135919/ENSG00000138279/ENSG00000138759/ENSG00000139219/ENSG00000142303/ENSG00000142798/ENSG00000142871/ENSG00000142910/ENSG00000143546/ENSG00000147257/ENSG00000149257/ENSG00000154188/ENSG00000154734/ENSG00000158270/ENSG00000160213/ENSG00000160862/ENSG00000162512/ENSG00000163131/ENSG00000163703/ENSG00000164111/ENSG00000164176/ENSG00000164733/ENSG00000164932/ENSG00000166106/ENSG00000167772/ENSG00000168056/ENSG00000168477/ENSG00000168743/ENSG00000169031/ENSG00000169231/ENSG00000169439/ENSG00000170542/ENSG00000171812/ENSG00000172638/ENSG00000172889/ENSG00000173402/ENSG00000179218/ENSG00000179403/ENSG00000182534/ENSG00000183098/ENSG00000186665/ENSG00000187244/ENSG00000187498/ENSG00000187720/ENSG00000188153/ENSG00000188157/ENSG00000188313/ENSG00000196136/ENSG00000196154/ENSG00000196739/ENSG00000196878/ENSG00000196975/ENSG00000197043/ENSG00000197249/ENSG00000197746/ENSG00000197747/ENSG00000197956/ENSG00000198910/ENSG00000198959/ENSG00000204262/ENSG00000206561/ENSG00000213420/ENSG00000215018",134
"GO:0051607","GO:0051607","defense response to virus","122/7441","164/13020",0.74390243902439,1.30165431475575,4.48957073981127,2.96721486302211e-06,0.00335196372359397,0.00304738172072481,"ENSG00000006062/ENSG00000023287/ENSG00000055332/ENSG00000057663/ENSG00000068001/ENSG00000074356/ENSG00000077348/ENSG00000078747/ENSG00000079785/ENSG00000084693/ENSG00000088888/ENSG00000089127/ENSG00000091592/ENSG00000092929/ENSG00000100413/ENSG00000101347/ENSG00000101782/ENSG00000102103/ENSG00000103490/ENSG00000105483/ENSG00000105497/ENSG00000105939/ENSG00000107201/ENSG00000108771/ENSG00000109606/ENSG00000111331/ENSG00000111335/ENSG00000115267/ENSG00000115415/ENSG00000117226/ENSG00000117228/ENSG00000118640/ENSG00000119917/ENSG00000119922/ENSG00000119927/ENSG00000121060/ENSG00000124201/ENSG00000125347/ENSG00000126581/ENSG00000126709/ENSG00000126775/ENSG00000128394/ENSG00000128829/ENSG00000129351/ENSG00000130303/ENSG00000130813/ENSG00000132256/ENSG00000132274/ENSG00000132664/ENSG00000132824/ENSG00000134321/ENSG00000135114/ENSG00000135828/ENSG00000136271/ENSG00000137462/ENSG00000137628/ENSG00000137959/ENSG00000138496/ENSG00000138646/ENSG00000138942/ENSG00000140464/ENSG00000140691/ENSG00000140853/ENSG00000141682/ENSG00000142089/ENSG00000143669/ENSG00000145604/ENSG00000146054/ENSG00000146063/ENSG00000152778/ENSG00000154760/ENSG00000155363/ENSG00000157601/ENSG00000159110/ENSG00000159674/ENSG00000160710/ENSG00000161204/ENSG00000162645/ENSG00000163512/ENSG00000163840/ENSG00000164022/ENSG00000164251/ENSG00000164300/ENSG00000164342/ENSG00000165732/ENSG00000165949/ENSG00000168209/ENSG00000168310/ENSG00000168404/ENSG00000168495/ENSG00000169871/ENSG00000170581/ENSG00000171791/ENSG00000172183/ENSG00000172936/ENSG00000173039/ENSG00000174840/ENSG00000174953/ENSG00000176171/ENSG00000181381/ENSG00000181555/ENSG00000183718/ENSG00000185201/ENSG00000185745/ENSG00000185885/ENSG00000187608/ENSG00000187796/ENSG00000188313/ENSG00000197111/ENSG00000197381/ENSG00000197548/ENSG00000198933/ENSG00000213689/ENSG00000213928/ENSG00000239713/ENSG00000241258/ENSG00000243725/ENSG00000243811/ENSG00000247315/ENSG00000257103/ENSG00000258659/ENSG00000263528",122
"GO:0045296","GO:0045296","cadherin binding","197/7441","281/13020",0.701067615658363,1.22670344790645,4.43680050352449,4.22791770970113e-06,0.00358210327954428,0.00325660924639348,"ENSG00000013588/ENSG00000020922/ENSG00000035403/ENSG00000039068/ENSG00000042493/ENSG00000044115/ENSG00000044574/ENSG00000050405/ENSG00000057294/ENSG00000062038/ENSG00000064666/ENSG00000065054/ENSG00000065243/ENSG00000065548/ENSG00000065613/ENSG00000067057/ENSG00000067225/ENSG00000067248/ENSG00000073921/ENSG00000074181/ENSG00000074800/ENSG00000075618/ENSG00000075711/ENSG00000077549/ENSG00000081277/ENSG00000082438/ENSG00000085832/ENSG00000087274/ENSG00000089006/ENSG00000089009/ENSG00000090615/ENSG00000091409/ENSG00000092820/ENSG00000095383/ENSG00000097033/ENSG00000099889/ENSG00000099992/ENSG00000100139/ENSG00000100266/ENSG00000100345/ENSG00000100401/ENSG00000100664/ENSG00000101361/ENSG00000101367/ENSG00000101558/ENSG00000102119/ENSG00000102572/ENSG00000103353/ENSG00000104419/ENSG00000104529/ENSG00000104881/ENSG00000105939/ENSG00000106636/ENSG00000106682/ENSG00000108829/ENSG00000108953/ENSG00000109475/ENSG00000109971/ENSG00000110047/ENSG00000110321/ENSG00000110395/ENSG00000110841/ENSG00000112079/ENSG00000113282/ENSG00000113758/ENSG00000114391/ENSG00000115170/ENSG00000115306/ENSG00000115310/ENSG00000115415/ENSG00000115677/ENSG00000116288/ENSG00000117450/ENSG00000117592/ENSG00000117868/ENSG00000119139/ENSG00000119326/ENSG00000120265/ENSG00000120802/ENSG00000121060/ENSG00000122786/ENSG00000124164/ENSG00000124831/ENSG00000124942/ENSG00000125753/ENSG00000125966/ENSG00000126777/ENSG00000127329/ENSG00000127527/ENSG00000127603/ENSG00000128050/ENSG00000128052/ENSG00000128641/ENSG00000130340/ENSG00000130396/ENSG00000130762/ENSG00000132002/ENSG00000132254/ENSG00000132341/ENSG00000133789/ENSG00000134884/ENSG00000135048/ENSG00000135124/ENSG00000135269/ENSG00000136068/ENSG00000136261/ENSG00000136279/ENSG00000136830/ENSG00000136848/ENSG00000137073/ENSG00000137076/ENSG00000137710/ENSG00000137843/ENSG00000138413/ENSG00000138768/ENSG00000139734/ENSG00000140553/ENSG00000140575/ENSG00000141551/ENSG00000141985/ENSG00000142186/ENSG00000142507/ENSG00000142627/ENSG00000142634/ENSG00000142864/ENSG00000143375/ENSG00000144283/ENSG00000144824/ENSG00000148341/ENSG00000149177/ENSG00000149782/ENSG00000149925/ENSG00000150054/ENSG00000150093/ENSG00000151150/ENSG00000151239/ENSG00000151929/ENSG00000154358/ENSG00000157456/ENSG00000157827/ENSG00000158195/ENSG00000158710/ENSG00000159166/ENSG00000161204/ENSG00000162236/ENSG00000162244/ENSG00000164924/ENSG00000165119/ENSG00000166341/ENSG00000166913/ENSG00000167110/ENSG00000167658/ENSG00000167880/ENSG00000168003/ENSG00000168036/ENSG00000168385/ENSG00000169564/ENSG00000169710/ENSG00000169862/ENSG00000172534/ENSG00000173482/ENSG00000173801/ENSG00000173898/ENSG00000173992/ENSG00000174996/ENSG00000175220/ENSG00000175792/ENSG00000175793/ENSG00000176749/ENSG00000177106/ENSG00000178209/ENSG00000179295/ENSG00000179950/ENSG00000180370/ENSG00000180611/ENSG00000182149/ENSG00000184897/ENSG00000185236/ENSG00000186260/ENSG00000187164/ENSG00000188846/ENSG00000196090/ENSG00000196396/ENSG00000196924/ENSG00000197157/ENSG00000198087/ENSG00000198242/ENSG00000198561/ENSG00000204120/ENSG00000204628/ENSG00000213719/ENSG00000214517/ENSG00000215301/ENSG00000247596/ENSG00000274750/ENSG00000278828/ENSG00000310517",197
"GO:0045121","GO:0045121","membrane raft","106/7441","143/13020",0.741258741258741,1.29702846541981,4.12463029621419,1.70364508417491e-05,0.00912292300422368,0.00829395276773546,"ENSG00000010810/ENSG00000026103/ENSG00000033327/ENSG00000035403/ENSG00000040608/ENSG00000053918/ENSG00000058668/ENSG00000063660/ENSG00000067113/ENSG00000068001/ENSG00000075711/ENSG00000076641/ENSG00000078269/ENSG00000090020/ENSG00000090339/ENSG00000095637/ENSG00000096968/ENSG00000102144/ENSG00000102934/ENSG00000104689/ENSG00000105695/ENSG00000105971/ENSG00000105974/ENSG00000106799/ENSG00000107731/ENSG00000108854/ENSG00000110395/ENSG00000110436/ENSG00000111716/ENSG00000113575/ENSG00000113763/ENSG00000114423/ENSG00000115020/ENSG00000116017/ENSG00000116288/ENSG00000117394/ENSG00000117758/ENSG00000117984/ENSG00000118777/ENSG00000119729/ENSG00000124942/ENSG00000127191/ENSG00000128052/ENSG00000128567/ENSG00000128973/ENSG00000130303/ENSG00000131238/ENSG00000131378/ENSG00000132589/ENSG00000134352/ENSG00000137462/ENSG00000137575/ENSG00000137713/ENSG00000140564/ENSG00000141424/ENSG00000141458/ENSG00000142192/ENSG00000142634/ENSG00000142867/ENSG00000144063/ENSG00000147475/ENSG00000147676/ENSG00000148175/ENSG00000149257/ENSG00000149357/ENSG00000150093/ENSG00000151694/ENSG00000152661/ENSG00000154096/ENSG00000154188/ENSG00000156515/ENSG00000160255/ENSG00000162909/ENSG00000163399/ENSG00000163513/ENSG00000164742/ENSG00000165029/ENSG00000165283/ENSG00000167106/ENSG00000167191/ENSG00000169347/ENSG00000170458/ENSG00000171867/ENSG00000173402/ENSG00000174130/ENSG00000174136/ENSG00000179820/ENSG00000183853/ENSG00000185924/ENSG00000186868/ENSG00000187123/ENSG00000187446/ENSG00000187889/ENSG00000188313/ENSG00000188603/ENSG00000188611/ENSG00000196230/ENSG00000196352/ENSG00000197747/ENSG00000198719/ENSG00000205336/ENSG00000213585/ENSG00000213658/ENSG00000213853/ENSG00000272398/ENSG00000276045",106
"GO:0044325","GO:0044325","transmembrane transporter binding","80/7441","104/13020",0.769230769230769,1.34597293581301,4.09092072222633,1.87961176097639e-05,0.00912292300422368,0.00829395276773546,"ENSG00000010810/ENSG00000030110/ENSG00000051108/ENSG00000053918/ENSG00000054148/ENSG00000057294/ENSG00000069424/ENSG00000072110/ENSG00000074370/ENSG00000075142/ENSG00000075711/ENSG00000077522/ENSG00000088832/ENSG00000091513/ENSG00000100300/ENSG00000101098/ENSG00000101400/ENSG00000102081/ENSG00000103194/ENSG00000103490/ENSG00000104695/ENSG00000105711/ENSG00000105974/ENSG00000108819/ENSG00000108852/ENSG00000108953/ENSG00000108961/ENSG00000109062/ENSG00000110218/ENSG00000112208/ENSG00000113448/ENSG00000113851/ENSG00000114279/ENSG00000115738/ENSG00000117016/ENSG00000119139/ENSG00000119782/ENSG00000127914/ENSG00000128245/ENSG00000129159/ENSG00000130175/ENSG00000131504/ENSG00000132639/ENSG00000134308/ENSG00000143933/ENSG00000144935/ENSG00000145349/ENSG00000151150/ENSG00000152049/ENSG00000152642/ENSG00000158286/ENSG00000158445/ENSG00000160014/ENSG00000161203/ENSG00000163399/ENSG00000164841/ENSG00000164924/ENSG00000168036/ENSG00000170379/ENSG00000171867/ENSG00000173805/ENSG00000174469/ENSG00000175115/ENSG00000176105/ENSG00000176406/ENSG00000178719/ENSG00000179364/ENSG00000184588/ENSG00000184709/ENSG00000185043/ENSG00000187486/ENSG00000196459/ENSG00000196924/ENSG00000197386/ENSG00000197747/ENSG00000198363/ENSG00000198668/ENSG00000198743/ENSG00000213585/ENSG00000232388",80
"GO:0035725","GO:0035725","sodium ion transmembrane transport","56/7441","69/13020",0.811594202898551,1.42009898155344,4.0406460348536,2.12583011232298e-05,0.00912292300422368,0.00829395276773546,"ENSG00000007216/ENSG00000033867/ENSG00000050438/ENSG00000055732/ENSG00000060237/ENSG00000064651/ENSG00000065923/ENSG00000069849/ENSG00000072041/ENSG00000074621/ENSG00000090020/ENSG00000099822/ENSG00000102452/ENSG00000104888/ENSG00000105711/ENSG00000108684/ENSG00000111181/ENSG00000111319/ENSG00000111371/ENSG00000114544/ENSG00000115616/ENSG00000126562/ENSG00000130821/ENSG00000131389/ENSG00000132164/ENSG00000133065/ENSG00000134294/ENSG00000135740/ENSG00000135750/ENSG00000138622/ENSG00000143153/ENSG00000143630/ENSG00000143867/ENSG00000144136/ENSG00000144290/ENSG00000157765/ENSG00000158158/ENSG00000158296/ENSG00000162341/ENSG00000162572/ENSG00000164038/ENSG00000166828/ENSG00000168003/ENSG00000168447/ENSG00000168575/ENSG00000170482/ENSG00000176884/ENSG00000177119/ENSG00000185052/ENSG00000186815/ENSG00000187446/ENSG00000196517/ENSG00000197818/ENSG00000198648/ENSG00000198689/ENSG00000198743",56
"GO:0005925","GO:0005925","focal adhesion","243/7441","359/13020",0.676880222841226,1.18438119895078,4.09125114289104,2.15353744567098e-05,0.00912292300422368,0.00829395276773546,"ENSG00000002549/ENSG00000005961/ENSG00000006451/ENSG00000011105/ENSG00000011422/ENSG00000014216/ENSG00000026508/ENSG00000031081/ENSG00000035403/ENSG00000041982/ENSG00000044115/ENSG00000044574/ENSG00000050405/ENSG00000063177/ENSG00000064666/ENSG00000065054/ENSG00000065717/ENSG00000067560/ENSG00000068078/ENSG00000070756/ENSG00000071054/ENSG00000071082/ENSG00000072110/ENSG00000074054/ENSG00000074696/ENSG00000075624/ENSG00000076043/ENSG00000077522/ENSG00000079308/ENSG00000079805/ENSG00000080371/ENSG00000082781/ENSG00000083857/ENSG00000084733/ENSG00000085719/ENSG00000087077/ENSG00000087274/ENSG00000089009/ENSG00000089157/ENSG00000089159/ENSG00000090020/ENSG00000090339/ENSG00000091409/ENSG00000092820/ENSG00000095637/ENSG00000096968/ENSG00000099250/ENSG00000099812/ENSG00000100106/ENSG00000100266/ENSG00000100316/ENSG00000100345/ENSG00000100711/ENSG00000100842/ENSG00000101311/ENSG00000101367/ENSG00000102181/ENSG00000102882/ENSG00000104164/ENSG00000105193/ENSG00000105372/ENSG00000105647/ENSG00000105855/ENSG00000105971/ENSG00000105974/ENSG00000106683/ENSG00000106991/ENSG00000107438/ENSG00000108262/ENSG00000108953/ENSG00000109270/ENSG00000109971/ENSG00000110395/ENSG00000110841/ENSG00000110880/ENSG00000111077/ENSG00000111199/ENSG00000111229/ENSG00000111859/ENSG00000112290/ENSG00000112655/ENSG00000113013/ENSG00000114302/ENSG00000115091/ENSG00000115109/ENSG00000115221/ENSG00000115641/ENSG00000115963/ENSG00000116251/ENSG00000116584/ENSG00000117519/ENSG00000120896/ENSG00000120899/ENSG00000122861/ENSG00000123384/ENSG00000124145/ENSG00000124222/ENSG00000124614/ENSG00000124942/ENSG00000125266/ENSG00000125753/ENSG00000126458/ENSG00000126934/ENSG00000128283/ENSG00000129116/ENSG00000129474/ENSG00000130202/ENSG00000130429/ENSG00000131016/ENSG00000131469/ENSG00000131746/ENSG00000132589/ENSG00000132670/ENSG00000132912/ENSG00000134308/ENSG00000135046/ENSG00000135269/ENSG00000135407/ENSG00000135740/ENSG00000136068/ENSG00000136153/ENSG00000136205/ENSG00000136238/ENSG00000137076/ENSG00000137309/ENSG00000137337/ENSG00000137575/ENSG00000137710/ENSG00000137807/ENSG00000137818/ENSG00000137845/ENSG00000138071/ENSG00000138448/ENSG00000138760/ENSG00000139626/ENSG00000140575/ENSG00000140691/ENSG00000141367/ENSG00000141738/ENSG00000142534/ENSG00000142627/ENSG00000142798/ENSG00000142937/ENSG00000143164/ENSG00000143363/ENSG00000143398/ENSG00000143761/ENSG00000143878/ENSG00000144152/ENSG00000144791/ENSG00000144824/ENSG00000145819/ENSG00000147010/ENSG00000147044/ENSG00000147604/ENSG00000149269/ENSG00000150093/ENSG00000151239/ENSG00000151694/ENSG00000151914/ENSG00000152382/ENSG00000152661/ENSG00000154096/ENSG00000154330/ENSG00000154380/ENSG00000154556/ENSG00000156482/ENSG00000157227/ENSG00000159176/ENSG00000160255/ENSG00000161016/ENSG00000161638/ENSG00000162434/ENSG00000162736/ENSG00000162909/ENSG00000163531/ENSG00000163539/ENSG00000163682/ENSG00000164111/ENSG00000164171/ENSG00000164587/ENSG00000164889/ENSG00000164924/ENSG00000165119/ENSG00000165527/ENSG00000166710/ENSG00000166794/ENSG00000166913/ENSG00000167460/ENSG00000167881/ENSG00000168036/ENSG00000168310/ENSG00000168615/ENSG00000169032/ENSG00000169398/ENSG00000170017/ENSG00000170027/ENSG00000170248/ENSG00000171863/ENSG00000171914/ENSG00000172164/ENSG00000172403/ENSG00000172757/ENSG00000172809/ENSG00000173402/ENSG00000173801/ENSG00000174444/ENSG00000175183/ENSG00000176105/ENSG00000178209/ENSG00000179218/ENSG00000182774/ENSG00000185019/ENSG00000185344/ENSG00000185621/ENSG00000185624/ENSG00000185883/ENSG00000186298/ENSG00000187122/ENSG00000187446/ENSG00000187678/ENSG00000188158/ENSG00000188352/ENSG00000196262/ENSG00000196405/ENSG00000196526/ENSG00000196923/ENSG00000196924/ENSG00000197043/ENSG00000197111/ENSG00000197321/ENSG00000197958/ENSG00000198910/ENSG00000198959/ENSG00000213465/ENSG00000213741/ENSG00000214063/ENSG00000231500/ENSG00000239382/ENSG00000244486/ENSG00000275342/ENSG00000277443/ENSG00000292348",243
"GO:0045071","GO:0045071","negative regulation of viral genome replication","30/7441","34/13020",0.882352941176471,1.5439101322561,3.66737393050433,9.43543926507217e-05,0.0355296707436995,0.0323012055308377,"ENSG00000055332/ENSG00000088888/ENSG00000089127/ENSG00000096063/ENSG00000105939/ENSG00000111331/ENSG00000111335/ENSG00000115267/ENSG00000124107/ENSG00000124201/ENSG00000128394/ENSG00000129351/ENSG00000130303/ENSG00000130813/ENSG00000134321/ENSG00000135114/ENSG00000135828/ENSG00000142089/ENSG00000145901/ENSG00000152778/ENSG00000157601/ENSG00000166801/ENSG00000172183/ENSG00000175334/ENSG00000185201/ENSG00000185745/ENSG00000185885/ENSG00000187608/ENSG00000188313/ENSG00000239713",30
"GO:0030279","GO:0030279","negative regulation of ossification","16/7441","16/13020",1,1.74976481655691,3.46555545608487,0.000128623626979171,0.0396277701665827,0.0360269240352185,"ENSG00000100644/ENSG00000101665/ENSG00000105329/ENSG00000107984/ENSG00000110492/ENSG00000120899/ENSG00000125398/ENSG00000126106/ENSG00000131650/ENSG00000131873/ENSG00000134569/ENSG00000137834/ENSG00000148400/ENSG00000168214/ENSG00000171791/ENSG00000183762",16
