Sample,Condition
T47D_FulvR_1_quant,T47D-FulvR
T47D_FulvR_2_quant,T47D-FulvR
T47D_FulvR_3_quant,T47D-FulvR
T47D_parental_1_quant,T47D-Par
T47D_parental_2_quant,T47D-Par
T47D_parental_3_quant,T47D-Par
T47D_TamR_1_quant,T47D-TamR
T47D_TamR_2_quant,T47D-TamR
T47D_TamR_3_quant,T47D-TamR
UCD4_EWD_1_quant,UCD4-EWD
UCD4_EWD_2_quant,UCD4-EWD
UCD4_EWD_3_quant,UCD4-EWD
UCD4_FulvR_1_quant,UCD4-FulvR
UCD4_FulvR_2_quant,UCD4-FulvR
UCD4_FulvR_3_quant,UCD4-FulvR
UCD4_parental_1_quant,UCD4-Par
UCD4_parental_2_quant,UCD4-Par
UCD4_parental_3_quant,UCD4-Par
UCD4_TamR_1_quant,UCD4-TamR
UCD4_TamR_2_quant,UCD4-TamR
UCD4_TamR_3_quant,UCD4-TamR
