"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description","external_gene_name","transcript_length"
"1","ENSG00000000003",300.387460732735,-0.0139417890657564,0.140795410169516,-0.0990216161803189,0.9211211072202,0.937319016491364,"tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]","TSPAN6",3796
"2","ENSG00000000419",1434.32247547018,-0.139520167263612,0.0582241359534365,-2.39625998701278,0.0165633371737414,0.0262641152115592,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]","DPM1",3004
"3","ENSG00000000457",724.539334527406,0.0600124227857365,0.103009481346559,0.582591252778318,0.560168495295165,0.620978612919799,"SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]","SCYL3",6308
"4","ENSG00000000460",291.709146375501,-0.336755511955319,0.121529492976384,-2.77097767552407,0.0055888258435804,0.00955442653406208,"FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]","FIRRM",4355
"5","ENSG00000001036",1263.52346717163,-0.215179270348807,0.0672038204920623,-3.20189043975889,0.00136528914055971,0.00255000209583809,"alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]","FUCA2",2385
"6","ENSG00000001084",1022.70444175638,-0.729444604952998,0.0852422043909042,-8.55731747161191,1.15524080966118e-17,6.58259752375868e-17,"glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]","GCLC",3785
"7","ENSG00000001167",886.238087034003,-0.507324474087247,0.0855581332196614,-5.92958793040454,3.03695848048547e-09,9.91007504158415e-09,"nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]","NFYA",6209
"8","ENSG00000001460",212.390508931723,1.04873267686182,0.168721013922788,6.21577983962182,5.10703682360389e-10,1.7670374553102e-09,"sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]","STPG1",6016
"9","ENSG00000001461",1985.34150784857,1.02104504317567,0.0505356804486997,20.2044384108405,8.94817157334428e-91,3.81984242245713e-89,"NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]","NIPAL3",7757
"10","ENSG00000001497",1711.77347692599,-0.150399885271469,0.0531470703469623,-2.82988101300048,0.00465653183238043,0.00806116799063864,"LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]","LAS1L",7570
"11","ENSG00000001561",401.900437631121,0.416320209236739,0.114958157280053,3.62149341192492,0.000292907265880849,0.000597096070419392,"ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]","ENPP4",4644
"12","ENSG00000001617",4535.42234521463,0.545971851857516,0.0463466842033386,11.7801707121518,4.93929363859237e-32,5.16958224875182e-31,"semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]","SEMA3F",3607
"13","ENSG00000001629",1701.63897942834,-0.904151774760855,0.0729299695448762,-12.3975339685903,2.69490087351756e-35,3.16104588947736e-34,"ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]","ANKIB1",6340
"14","ENSG00000001630",2481.15452151935,-0.151221572450502,0.0711951624743339,-2.12404280283815,0.0336665645871101,0.0506398649404082,"cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]","CYP51A1",3155
"15","ENSG00000001631",729.959589845991,-0.756347537861354,0.10708074627216,-7.0633383142381,1.62549316088217e-12,6.75731831247951e-12,"KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]","KRIT1",6688
"16","ENSG00000002016",192.592118185411,-0.108084931738784,0.208802428873709,-0.517642119020359,0.604707989205959,0.662902923251796,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]","RAD52",3023
