"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description","external_gene_name","transcript_length"
"1","ENSG00000000003",595.879391628524,9.21887654276503,0.0919563092078099,100.252789854055,0,0,"tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]","TSPAN6",3796
"2","ENSG00000000419",2577.01937682747,11.3314876696469,0.0549855837948953,206.081065028155,0,0,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]","DPM1",3004
"3","ENSG00000000457",676.003170847539,9.40088620337581,0.0845629167407614,111.170316324299,0,0,"SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]","SCYL3",6308
"4","ENSG00000000460",930.929989181041,9.86252886340278,0.0730260125510091,135.055010110455,0,0,"FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]","FIRRM",4355
"5","ENSG00000001036",1236.6809681681,10.2722576548187,0.0643599938013226,159.6062561244,0,0,"alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]","FUCA2",2385
"6","ENSG00000001084",871.386643879951,9.76716919038627,0.0924155376488713,105.687522237832,0,0,"glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]","GCLC",3785
"7","ENSG00000001167",615.22006202461,9.26495873941955,0.097641240186278,94.8877617873764,0,0,"nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]","NFYA",6209
"8","ENSG00000001460",269.456206994763,8.07390700974575,0.121397548426122,66.5079906013031,0,0,"sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]","STPG1",6016
"9","ENSG00000001461",3177.89880925493,11.633857471743,0.0540948067052431,215.06422113928,0,0,"NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]","NIPAL3",7757
"10","ENSG00000001497",1244.61887363083,10.2814883134604,0.07159189054041,143.612471131168,0,0,"LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]","LAS1L",7570
"11","ENSG00000001561",489.433167842099,8.93496806287142,0.0941049303173434,94.9468644495103,0,0,"ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]","ENPP4",4644
"12","ENSG00000001617",1212.83303169608,10.2441652358424,0.0693301715886775,147.75912133348,0,0,"semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]","SEMA3F",3607
"13","ENSG00000001629",1408.0019877782,10.4594336553956,0.0985659823688412,106.116059557502,0,0,"ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]","ANKIB1",6340
"14","ENSG00000001630",2619.7009209166,11.3551864000357,0.0526279601636808,215.763376819458,0,0,"cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]","CYP51A1",3155
"15","ENSG00000001631",654.783950182275,9.35487514922237,0.0836375560216404,111.850173465158,0,0,"KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]","KRIT1",6688
"16","ENSG00000002016",206.51321133588,7.69009026836415,0.16796579285017,45.7836690308954,0,0,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]","RAD52",3023
"17","ENSG00000002330",1443.20502179369,10.4950605483959,0.0693120811087322,151.417478461395,0,0,"BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]","BAD",1157
"18","ENSG00000002549",3727.97379683264,11.8641760042808,0.04991172636409,237.703178562397,0,0,"leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]","LAP3",2209
"19","ENSG00000002822",976.618698487676,9.93165159006957,0.0769340910078888,129.092986736545,0,0,"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]","MAD1L1",2991
"20","ENSG00000002834",8171.37315044484,12.9963628196887,0.0467553028013764,277.965536334975,0,0,"LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]","LASP1",4023
"21","ENSG00000002919",610.471021454453,9.25377900309352,0.100597475742175,91.9881829521288,0,0,"sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]","SNX11",2992
"22","ENSG00000003056",2473.30204277275,11.2722227188913,0.0548221466770612,205.614398598656,0,0,"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]","M6PR",2450
"23","ENSG00000003096",297.586426277024,8.21716491249275,0.123029686361713,66.7900988411359,0,0,"kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]","KLHL13",5331
"24","ENSG00000003147",989.562794207057,9.95064744835292,0.0778970263091651,127.741043783364,0,0,"islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]","ICA1",2440
"25","ENSG00000003249",1133.81201141345,10.1469657426812,0.0746046634637494,136.009805172725,0,0,"dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]","DBNDD1",2889
"26","ENSG00000003393",845.349699549731,9.72340446068482,0.0749910692409682,129.660832404465,0,0,"alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]","ALS2",9251
"27","ENSG00000003402",1219.1814066932,10.2516970907391,0.0745735410743077,137.47097084372,0,0,"CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]","CFLAR",14612
"28","ENSG00000003509",489.492082042609,8.93514171295354,0.0951671178843788,93.8889598801247,0,0,"NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]","NDUFAF7",2974
"29","ENSG00000003756",1268.08865402635,10.3084398946924,0.085487859571582,120.58367055103,0,0,"RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]","RBM5",5616
"30","ENSG00000004059",1573.80143510545,10.6200378136526,0.0699264754688593,151.874347197465,0,0,"ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]","ARF5",1509
"31","ENSG00000004139",81.4070033601922,6.34708100827815,0.223614039225842,28.3840899715059,3.17854066362678e-177,3.3033708282472e-177,"sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]","SARM1",10277
"32","ENSG00000004142",3681.32144691804,11.8460080136362,0.0482186205142316,245.67289332012,0,0,"DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]","POLDIP2",2670
"33","ENSG00000004399",3045.90795821996,11.5726566315346,0.0557525488540713,207.571794821889,0,0,"plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]","PLXND1",6913
"34","ENSG00000004455",4094.88824989208,11.9996083657039,0.0531115199386589,225.932309592397,0,0,"adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]","AK2",7687
"35","ENSG00000004478",10187.8716592682,13.3145650701769,0.0443774163627032,300.03019917507,0,0,"FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]","FKBP4",3715
"36","ENSG00000004487",2641.70212057579,11.3672520815282,0.0521891310731708,217.808801330511,0,0,"lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]","KDM1A",5786
"37","ENSG00000004534",1236.68797556242,10.2722658295256,0.0660889382534323,155.430940502242,0,0,"RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]","RBM6",4324
"38","ENSG00000004660",462.712662180581,8.85397276871939,0.10396807919382,85.1604919257341,0,0,"calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]","CAMKK1",3898
"39","ENSG00000004700",1849.29229300052,10.8527575550154,0.0567233612402968,191.327828917612,0,0,"RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]","RECQL",3745
"40","ENSG00000004766",432.710443238679,8.75725812963978,0.116535747541294,75.1465392757419,0,0,"VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]","VPS50",5736
"41","ENSG00000004777",292.556878239321,8.19257332721103,0.15029848802602,54.5086875776999,0,0,"Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]","ARHGAP33",4352
"42","ENSG00000004779",1632.30844894151,10.6726979864024,0.0636585915242392,167.655264291208,0,0,"NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]","NDUFAB1",885
"43","ENSG00000004838",145.97636899253,7.18959103082102,0.165803331847961,43.3621625735107,0,0,"zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]","ZMYND10",1774
"44","ENSG00000004864",988.643623153165,9.94930675548591,0.0699637104420562,142.206676756029,0,0,"solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]","SLC25A13",3192
"45","ENSG00000004866",365.397918476134,8.51332460531453,0.1129777571401,75.3539884382504,0,0,"suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]","ST7",2899
"46","ENSG00000004897",1660.58961834185,10.6974798686581,0.0637178757833476,167.888206208121,0,0,"cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]","CDC27",5830
"47","ENSG00000004961",1293.15962272465,10.3366846516121,0.0643717855006722,160.577876956732,0,0,"holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]","HCCS",2312
"48","ENSG00000004975",1291.69018552597,10.3350443628951,0.0645982515884986,159.989537003742,0,0,"dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]","DVL2",2989
"49","ENSG00000005007",3645.26639949036,11.831808536575,0.0508911986307133,232.492235493041,0,0,"UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]","UPF1",5328
"50","ENSG00000005020",1054.76229056186,10.042702183245,0.0741015670621108,135.52617820926,0,0,"src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]","SKAP2",3839
"51","ENSG00000005022",7810.83737723152,12.9312615084736,0.0504129161563592,256.506913195943,0,0,"solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]","SLC25A5",1307
"52","ENSG00000005059",498.102222022118,8.96029803662771,0.0980531788860661,91.3820249217949,0,0,"mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]","MCUB",2230
"53","ENSG00000005075",816.452216481352,9.67322464315184,0.0883290198136211,109.513551305821,0,0,"RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]","POLR2J",937
"54","ENSG00000005100",1019.36000305178,9.99344793665065,0.0744504341724346,134.229545438309,0,0,"DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]","DHX33",5535
"55","ENSG00000005156",1005.66772622439,9.97393800043006,0.0804279846634511,124.010791046994,0,0,"DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]","LIG3",8382
"56","ENSG00000005175",1204.22643122985,10.2338909728547,0.0688489348462333,148.6426913606,0,0,"RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]","RPAP3",4339
"57","ENSG00000005189",537.508559687842,9.07014391921333,0.0904413459079225,100.287582279542,0,0,"RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]","REXO5",2691
"58","ENSG00000005194",1438.14364750349,10.4899920697513,0.0709137380001468,147.926091129614,0,0,"cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]","CIAPIN1",2021
"59","ENSG00000005206",875.839829684429,9.77452324904418,0.0824053199747769,118.615196834816,0,0,"signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]","SPPL2B",3691
"60","ENSG00000005238",335.632765400433,8.39073975231439,0.10805388098651,77.6532936689425,0,0,"atos homolog B [Source:HGNC Symbol;Acc:HGNC:25666]","ATOSB",5771
"61","ENSG00000005243",312.508152946394,8.28775001814753,0.121280126545972,68.3355983719722,0,0,"COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]","COPZ2",914
"62","ENSG00000005249",83.2791928000906,6.37988417998783,0.214740703161144,29.7097107631258,5.75262447237075e-194,6.02480485473479e-194,"protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]","PRKAR2B",4353
"63","ENSG00000005302",914.501337174865,9.83684146924476,0.0824144810228113,119.358167971986,0,0,"MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]","MSL3",6544
"64","ENSG00000005339",1842.32615560211,10.8473127757417,0.0620334437829179,174.862334158026,0,0,"CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]","CREBBP",10790
"65","ENSG00000005379",589.128472024532,9.20243846855355,0.0948156843066724,97.0560781778373,0,0,"TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]","TSPOAP1",7698
"66","ENSG00000005436",401.128259168502,8.64791979623166,0.126267966310758,68.4886281841923,0,0,"GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]","GCFC2",4367
"67","ENSG00000005448",516.367249567031,9.01225369083506,0.0924819755608193,97.4487583789589,0,0,"WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]","WDR54",2356
"68","ENSG00000005469",403.268996973431,8.65559868643851,0.103062726024344,83.9837933686521,0,0,"carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]","CROT",3205
